Year,Category,Title,Winners
2012,"Best Latin Rock, Urban or Alternative Album",Imaginaries,"Quetzal (Tylana Enomoto, Quetzal Flores, Martha Gonzalez, Peter Jacobson, Alberto Lopez, Juan Perez), artist. Pete Reiniger, engineer/mixer. Daniel Sheehy, producer."
2012,Best Regional Mexican Music Album (Including Tejano),Pecados Y Milagros,"Lila Downs, artist. Alan Saucedo, Aneiro Taño & Rodolfo Vasquez, engineers/mixers. Paul Cohen, Lila Downs & Aneiro Taño, producers."
2012,Best Tropical Latin Album,Retro,"Marlow Rosado Y La Riqueña (Marlow Rosado), artist. Victor ""Sonny"" Hernández, engineer/mixer."
2012,Best Americana Album,Slipstream,"Bonnie Raitt, artist. Ryan Freeland, engineer/mixer. Bonnie Raitt, producer."
2012,Best Bluegrass Album,Nobody Knows You,"The Steep Canyon Rangers (Mike Guggino, Charles Humphrey, Woody Platt, Nicky Sanders, Graham Sharp), artist. Brandon Bell & Gary Paczosa, engineers/mixers. Gary Paczosa & The Steep Canyon Rangers (Mike Guggino, Charles Humphrey, Woody Platt, Nicky Sanders, Graham Sharp), producers."
2012,Best Blues Album,Locked Down,"Dr. John, artist. Dan Auerbach & Collin Dupuis, engineers/mixers. Dan Auerbach, producer."
2012,Best Folk Album,The Goat Rodeo Sessions,"Stuart Duncan, Yo-Yo Ma, Edgar Meyer & Chris Thile, artists. Richard King, engineer/mixer. Steven Epstein, producer."
2012,Best Regional Roots Music Album,The Band Courtbouillon,"Steve Riley, Wilson Savoy & Wayne Toups, artists. Joel Savoy, engineer/mixer."
2012,Best Reggae Album,Rebirth,"Jimmy Cliff, artist. Tim Armstrong, Kevin Bivona, J Bonner, Bill Mims, John Morrical & Clinton Welander, engineers/mixers. Tim Armstrong, producer."
2012,Best World Music Album,The Living Room Sessions Part 1,"Ravi Shankar, artist. Barry Phillips, engineer/mixer. Barry Phillips, producer."
2012,Best Children's Album,Can You Canoe?,"The Okee Dokee Brothers (Justin Lansing, Joe Mailander), artist. Dean Jones, engineer/mixer. Dean Jones, producer."
2012,Best Spoken Word Album,Society's Child: My Autobiography,"Janis Ian, artist. Stefan Rudnicki & Ted Scott, engineers/mixers. Mike Charzuk, Christina Harcar, Jason Ojalvo & Stefan Rudnicki, producers."
2012,Best Comedy Album,Blow Your Pants Off,"Jimmy Fallon, artist. Lawrence Manchester, engineer/mixer. Gerard Bradford, Mike DiCenzo, Jimmy Fallon & Lawrence Manchester, producers."
2012,Best Musical Theater Album,Once: A New Musical,"Steve Kazee & Cristin Milioti, principal soloists. Steven Epstein & Martin Lowe, producers. Richard King, engineer/mixer."
2012,Best Compilation Soundtrack For Visual Media,Midnight In Paris,"Woody Allen, producer."
