Year,Category,Title,Winners
1995,Best Engineered Album - Non-Classical,Wildflowers,"David Bianco, Jim Scott, Richard Dodd & Stephen McLaughlin, engineers."
1995,Producer Of The Year,,"Babyface, producer."
1995,Best Classical Engineered Recording,"Bartók: Concerto For Orchestra; ""Kossuth"" - Symphonic Poem","Jonathan Stokes & Michael Mailes, engineers."
1995,Classical Producer Of The Year,,"Steven Epstein, producer."
1995,Best Classical Album,Debussy: La Mer; Nocturnes; Jeux,"Pierre Boulez, artist. Karl-August Naegler, producer."
1995,Best Orchestral Performance,Debussy: La Mer,"Pierre Boulez, conductor."
1995,Best Opera Recording,Berlioz: Les Troyens,"Deborah Voigt, Francoise Pollet, Gary Lakes & Gino Quilico, artists. Charles Dutoit, conductor. Raymond Minshull, producer."
1995,Best Choral Performance,Brahms: Ein Deutsches Requiem,"Vance George, choir director. Herbert Blomstedt, conductor."
1995,Best Instrumental Soloist(s) Performance (With Orchestra),"The American Album - Works Of Bernstein, Barber, Foss","Itzhak Perlman, artist."
1995,Best Instrumental Soloist Performance (Without Orchestra),Schubert: Piano Sonatas (B Flat Major And A Major),"Radu Lupu, artist."
1995,Best Chamber Music Performance,Brahms/Beethoven/Mozart: Clarinet Trios,"Emanuel Ax, Richard Stoltzman & Yo-Yo Ma, artists."
1995,Best Classical Vocal Performance,The Echoing Air - The Music Of Henry Purcell,"Sylvia McNair, artist."
1995,Best Classical Contemporary Composition,Messiaen: Concert A Quatre,"Olivier Messiaen, composer."
1995,"Best Music Video, Short Form",Scream,"Janet Jackson & Michael Jackson, artists. Mark Romanek, video director. Cean Chaffin, video producer."
1995,"Best Music Video, Long Form",Secret World Live,"Peter Gabriel, artist. Francois Girard, video director. Robert Warr, video producer."
1994,Record Of The Year,All I Wanna Do,"Sheryl Crow, artist. Bill Bottrell, producer."
1994,Album Of The Year,MTV Unplugged,"Tony Bennett, artist. David Kahne, producer."
1994,Song Of The Year,Streets Of Philadelphia,"Bruce Springsteen, songwriter."
1994,Best New Artist,,"Sheryl Crow, artist."
1994,Best Female Pop Vocal Performance,All I Wanna Do,"Sheryl Crow, artist."
1994,Best Male Pop Vocal Performance,Can You Feel The Love Tonight,"Elton John, artist."
1994,Best Pop Performance By A Duo Or Group With Vocal,I Swear,"All-4-One (Tony Borowiak, Delious, Jamie Jones, Alfred Nevarez), artist."
1994,Best Pop Vocal Collaboration,Funny How Time Slips Away,"Al Green & Lyle Lovett, artists."
1994,Best Pop Instrumental Performance,Cruisin',"Booker T And The MG's (Steve Cropper, Donald ""Duck"" Dunn), artist."
1994,Best Pop Album,Longing In Their Hearts,"Bonnie Raitt, artist."
1994,Best Traditional Pop Vocal Performance,MTV Unplugged,"Tony Bennett, artist."
1994,Best Female Rock Vocal Performance,Come To My Window,"Melissa Etheridge, artist."
1994,Best Male Rock Vocal Performance,Streets Of Philadelphia,"Bruce Springsteen, artist."
1994,Best Rock Performance By A Duo Or Group With Vocal,Crazy,"Aerosmith (Tom Hamilton, Joey Kramer, Joe Perry, Steven Tyler, Brad Whitford), artist."
1994,Best Hard Rock Performance,Black Hole Sun,"Soundgarden (Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil), artist."
1994,Best Metal Performance,Spoonman,"Soundgarden (Matt Cameron, Chris Cornell, Ben Shepherd, Kim Thayil), artist."
1994,Best Rock Instrumental Performance,Marooned,"Pink Floyd (David Gilmour, Nick Mason, Rick Wright), artist."
1994,Best Rock Song,Streets Of Philadelphia,"Bruce Springsteen, songwriter."
1994,Best Rock Album,Voodoo Lounge,"Rolling Stones (Mick Jagger, Keith Richards, Charlie Watts, Ron Wood), artist."
1994,Best Alternative Music Performance,Dookie,"Green Day (Billie Joe Armstrong, Mike Dirnt, Frank Edwin Wright III), artist."
1994,Best Female R&B Vocal Performance,Breathe Again,"Toni Braxton, artist."
1994,Best Male R&B Vocal Performance,When Can I See You,"Babyface, artist."
1994,Best R&B Performance By A Duo Or Group With Vocal,I'll Make Love To You,"Boyz II Men (Michael McCary, Nathan Morris, Wanya Morris, Shawn Stockman), artist."
1994,Best Rhythm & Blues Song,I'll Make Love To You,"Babyface, songwriter."
1994,Best R&B Album,II,"Boyz II Men (Michael McCary, Nathan Morris, Wanya Morris, Shawn Stockman), artist."
1994,Best Rap Solo Performance,U.N.I.T.Y.,"Queen Latifah, artist."
1994,Best Rap Performance By A Duo Or Group,None Of Your Business,"Salt-N-Pepa (Sandra ""Pepa"" Denton, Cheryl ""Salt"" James, De De (Deidra) ""Spinderella"" Roper), artist."
1994,Best Female Country Vocal Performance,Shut Up And Kiss Me,"Mary Chapin Carpenter, artist."
1994,Best Male Country Vocal Performance,When Love Finds You,"Vince Gill, artist."
1994,Best Country Performance By A Duo Or Group With Vocal,Blues For Dixie,"Asleep At The Wheel (Tim Alexander, Tommy Beavers, Ray Benson, Cindy Cashdollar, Michael Francis, David Miller, Ricky Turpin) & Lyle Lovett, artists."
1994,Best Country Vocal Collaboration,I Fall To Pieces,"Aaron Neville & Trisha Yearwood, artists."
1994,Best Country Instrumental Performance,Young Thing,"Chet Atkins, artist."
1994,Best Country Song,I Swear,"Frank J. Myers & Gary Baker, songwriters."
1994,Best Country Album,Stones In The Road,"Mary Chapin Carpenter, artist."
1994,Best Bluegrass Album,The Great Dobro Sessions,"Jerry Douglas & Tut Taylor, producers."
1994,Best New Age Album,Prayer For The Wild Things,"Paul Winter, artist."
1994,Best Contemporary Jazz Performance,Out Of The Loop,"Brecker Brothers (Michael Brecker, Randy Brecker), artist."
1994,Best Jazz Vocal Performance,Mystery Lady - Songs Of Billie Holiday,"Etta James, artist."
1994,Best Jazz Instrumental Solo,Prelude To A Kiss,"Benny Carter, soloist."
1994,"Best Jazz Instrumental Performance, Individual Or Group",A Tribute To Miles,"Herbie Hancock, Ron Carter, Tony Williams, Wallace Roney & Wayne Shorter, artists."
1994,Best Large Jazz Ensemble Performance,Journey,"McCoy Tyner, artist."
1994,Best Latin Jazz Performance,Danzon,"Arturo Sandoval, artist."
1994,Best Rock Gospel Album,Wake-Up Call,"Petra (Ronny Cates, Bob Hartman, John Lawry, John Schlitt, Louie Weaver), artist."
1994,Best Pop/Contemporary Gospel Album,Mercy,"Andrae Crouch, artist."
1994,"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album",I Know Who Holds Tomorrow,"Alison Krauss & Cox Family (Evelyn Cox, Lynn Cox, Sidney Cox, Suzanne Cox, Willard Cox), artists."
1994,Best Traditional Soul Gospel Album,Songs Of The Church - Live In Memphis,"Albertina Walker, artist."
1994,Best Contemporary Soul Gospel Album,Join The Band,"Take 6 (Alvin Chea, Cedric Dent, Joel Kibble, Mark Kibble, Claude V. McKnight III, David Thomas), artist."
1994,Best Gospel Album By A Choir Or Chorus,Through God's Eyes,"Thompson Community Singers, Milton Brunson, choir director. (TIE)"
1994,Best Gospel Album By A Choir Or Chorus,Live In Atlanta At Morehouse College,"The Love Fellowship Crusade Choir, Hezekiah Walker, choir director. (TIE)"
1994,Best Latin Pop Performance,Segundo Romance,"Luis Miguel, artist."
1994,Best Tropical Latin Performance,Master Sessions Volume 1,"Israel López, artist."
1994,Best Mexican-American Performance,Recuerdo A Javier Solis,"Vikki Carr, artist."
1994,Best Traditional Blues Album,From The Cradle,"Eric Clapton, artist."
1994,Best Contemporary Blues Album,Father Father,"Pops Staples, artist."
1994,Best Traditional Folk Album,World Gone Wrong,"Bob Dylan, artist."
1994,Best Contemporary Folk Album,American Recordings,"Johnny Cash, artist."
1994,Best Reggae Album,Crucial! Roots Classics,"Bunny Wailer, artist."
1994,Best World Music Album,Talking Timbuktu,"Ali Farka Toure & Ry Cooder, artists."
1994,Best Polka Album,Music And Friends,"Walter Ostanek, artist."
1994,Best Musical Album For Children,The Lion King - Original Motion Picture Soundtrack,"Chris Thomas, Hans Zimmer, Jay Rifkin & Mark Mancina, producers."
1994,Best Spoken Word Album For Children,The Lion King Read-Along,"Robert Guillaume, narrator. Randy Thornton & Ted Kryczko, producers."
1994,Best Spoken Word Or Non-Musical Album,Get In The Van - On The Road With Black Flag,"Henry Rollins, narrator."
1994,Best Spoken Comedy Album,Live From Hell,"Sam Kinison, artist."
1994,Best Musical Show Album,Passion,"Stephen Sondheim, composer. Stephen Sondheim, lyricist. Phil Ramone, producer."
1994,Best Instrumental Composition,African Skies,"Michael Brecker, composer."
1994,Best Instrumental Composition Written For A Motion Picture Or For Television,Schindler's List,"John Williams, composer."
1994,Best Song Written Specifically For A Motion Picture Or For Television,Streets Of Philadelphia (From Philadelphia),"Bruce Springsteen, songwriter."
1994,Best Instrumental Arrangement,Three Cowboy Songs,"Dave Grusin, arranger."
1994,Best Instrumental Arrangement With Accompanying Vocals,Circle Of Life,"Hans Zimmer & Lebo Morake, arrangers."
1994,Best Recording Package,Tribute To The Music Of Bob Wills & The Texas Playboys,"Buddy Jackson, art director."
1994,Best Recording Package - Boxed,The Complete Ella Fitzgerald Songbooks,"Chris Thompson, art director."
1994,Best Album Notes,Louis Armstrong - Portrait Of The Artist As A Young Man 1923-1934,"Dan Morgenstern & Loren Schoenberg, album notes writers."
1994,Best Historical Album,The Complete Ella Fitzgerald Song Books On Verve,"Michael Lang, compilation producer."
1994,Best Engineered Album - Non-Classical,Longing In Their Hearts,"Ed Cherney, engineer."
1994,Producer Of The Year,,"Don Was, producer."
1994,Best Classical Engineered Recording,"Copland: Music For Films (The Red Pony, Our Town, Etc.)","William Hoekstra, engineer."
1994,Classical Producer Of The Year,,"Andrew Cornall, producer."
1994,Best Classical Album,"Bartók: Concerto For Orchestra; Four Orchestral Pieces, Op. 12","Pierre Boulez, artist. Karl-August Naegler, producer."
1994,Best Orchestral Performance,"Bartók: Concerto For Orchestra: Four Orchestral Pieces, Op. 12","Pierre Boulez, conductor."
1994,Best Opera Recording,Floyd: Susannah,"Cheryl Studer, Jerry Hadley, Kenn Chester & Samuel Ramey, artists. Kent Nagano, conductor. Martin Sauer, producer."
1994,Best Choral Performance,Berlioz: Messe Solennelle,"John Eliot Gardiner, choir director."
1994,Best Instrumental Soloist Performance (With Orchestra),"The New York Album - Works Of Albert, Bartok & Bloch","Yo-Yo Ma, artist."
1994,Best Instrumental Soloist Performance Without Orchestra,"Haydn: Piano Sonatas, Nos. 32, 47, 53, 59","Emanuel Ax, artist."
1994,Best Chamber Music Performance,Beethoven/Mozart: Quintets (Chicago-Berlin),"Dale Clevenger, Daniel Barenboim, Daniele Damiano, Hansjorg Schellenberger & Larry Combs, artists."
1994,Best Classical Vocal Performance,"The Impatient Lover - Italian Songs By Beethoven, Schubert, Mozart","Cecilia Bartoli, artist."
1994,Best Classical Contemporary Composition,Albert: Cello Concerto,"Stephen Albert, composer."
1994,"Best Music Video, Short Form",Love Is Strong,"Rolling Stones (Mick Jagger, Keith Richards, Charlie Watts, Ron Wood), artist. David Fincher, video director. Cean Chaffin, video producer."
1994,"Best Music Video, Long Form",Zoo TV - Live From Sydney,"U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), artist. David Mallet, video director. Ned O'Hanlon & Rocky Oldham, video producers."
1993,Record Of The Year,I Will Always Love You,"Whitney Houston, artist. David Foster, producer."
1993,Album Of The Year,The Bodyguard - Original Soundtrack Album,"Whitney Houston, artist.Babyface, BeBe Winans, David Cole, David Foster, L.A. Reid, Narada Michael Walden & Robert Clivilles, producers."
1993,Song Of The Year,A Whole New World (Aladdin's Theme),"Alan Menken & Tim Rice, songwriters."
1993,Best New Artist,,"Toni Braxton, artist."
1993,"Best Pop Vocal Performance, Female",I Will Always Love You,"Whitney Houston, artist."
1993,"Best Pop Vocal Performance, Male",If I Ever Lose My Faith In You,"Sting, artist."
1993,Best Pop Performance By A Duo Or Group With Vocal,A Whole New World (Aladdin's Theme),"Peabo Bryson & Regina Belle, artists."
1993,Best Traditional Pop Vocal Performance,Steppin' Out,"Tony Bennett, artist."
1993,Best Pop Instrumental Performance,Barcelona Mona,"Branford Marsalis & Bruce Hornsby, artists."
1993,"Best Rock Vocal Performance, Solo",I'd Do Anything For Love (But I Won't Do That),"Meat Loaf, artist."
1993,Best Rock Performance By A Duo Or Group With Vocal,Livin' On The Edge,"Aerosmith (Tom Hamilton, Joey Kramer, Joe Perry, Steven Tyler, Brad Whitford), artist."
1993,Best Hard Rock Performance With Vocal,Plush,"Stone Temple Pilots (Dean DeLeo, Robert DeLeo, Eric Kretz, Scott Weiland), artist."
1993,Best Metal Performance With Vocal,I Don't Want To Change The World,"Ozzy Osbourne, artist."
1993,Best Rock Instrumental Performance,Sofa,"Steve Vai, artist."
1993,Best Rock Song,Runaway Train,"David Pirner, songwriter."
1993,Best Alternative Music Album,Zooropa,"U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), artist."
1993,"Best R&B Vocal Performance, Female",Another Sad Love Song,"Toni Braxton, artist."
1993,"Best R&B Vocal Performance, Male",A Song For You,"Ray Charles, artist."
1993,Best R&B Performance By A Duo Or Group With Vocal,No Ordinary Love,"Sade (Sade Adu, Paul S. Denman, Andrew Hale, Stuart Matthewman), artist."
1993,Best Rhythm & Blues Song,That's The Way Love Goes,"Janet Jackson, Jimmy Jam & Terry Lewis, songwriters."
1993,Best Rap Solo Performance,Let Me Ride,"Dr. Dre, artist."
1993,Best Rap Performance By A Duo Or Group,Rebirth Of Slick (Cool Like Dat),"Digable Planets (Butterfly, Doodle Bug, Ladybug), artist."
1993,Best New Age Album,Spanish Angel,"Paul Winter Consort (Eugene Friesen, Paul Halley, Rhonda Larson, Glen Velez, Eliot Wadopian, Paul Winter), artist."
1993,Best Contemporary Jazz Performance (Instrumental),The Road To You,"Pat Metheny Group (Pedro Aznar, Armando Marcal, Lyle Mays, Pat Metheny, Steve Rodby, Paul Wertico), artist."
1993,Best Jazz Vocal Performance,Take A Look,"Natalie Cole, artist."
1993,Best Jazz Instrumental Solo,Miles Ahead,"Joe Henderson, soloist."
1993,"Best Jazz Instrumental Performance, Individual Or Group","So Near, So Far (Musings For Miles)","Joe Henderson, artist."
1993,Best Large Jazz Ensemble Performance,Miles And Quincy Live At Montreux,"Miles Davis & Quincy Jones, artists."
1993,"Best Country Vocal Performance, Female",Passionate Kisses,"Mary Chapin Carpenter, artist."
1993,"Best Country Vocal Performance, Male",Ain't That Lonely Yet,"Dwight Yoakam, artist."
1993,Best Country Performance By A Duo Or Group With Vocal,Hard Workin' Man,"Brooks & Dunn (Kix Brooks, Ronnie Dunn), artist."
1993,Best Country Vocal Collaboration,Does He Love You,"Linda Davis & Reba McEntire, artists."
1993,Best Country Instrumental Performance,Red Wing,"Asleep At The Wheel (Tim Alexander, Ray Benson, Cindy Cashdollar, Michael Francis, David Miller, Lucky Oceans, David Sanger, Ricky Turpin), Chet Atkins, Eldon Shamblin, Johnny Gimble, Marty Stuart, Reuben ""Lucky Oceans"" Gosfield & Vince Gill, artists."
1993,Best Bluegrass Album,Waitin' For The Hard Times To Go,"Nashville Bluegrass Band (Stuart Duncan, Pat Enright, Gene Libbea, Alan O'Bryant, Roland White), artist."
1993,Best Country Song,Passionate Kisses,"Lucinda Williams, songwriter."
1993,Best Rock Gospel Album,Free At Last,"dc Talk (Toby McKeehan, Kevin Max Smith, Michael Tait), artist."
1993,Best Pop/Contemporary Gospel Album,The Live Adventure,"Steven Curtis Chapman, artist."
1993,"Best Southern Gospel, Country Gospel Or Bluegrass Gospel Album",Good News,"Kathy Mattea, artist."
1993,Best Traditional Soul Gospel Album,Stand Still,"Shirley Caesar, artist."
1993,Best Contemporary Soul Gospel Album,All Out,"Winans (Carvin Winans, Marvin Winans, Michael Winans, Ronald Winans), artist."
1993,Best Gospel Album By A Choir Or Chorus,Live...We Come Rejoicing,"Carol Cymbala, choir director."
1993,Best Latin Pop Album,Aries,"Luis Miguel, artist."
1993,Best Tropical Latin Album,Mi Tierra,"Gloria Estefan, artist."
1993,Best Mexican-American Album,Live,"Selena, artist."
1993,Best Traditional Blues Album,Blues Summit,"B.B. King, artist."
1993,Best Contemporary Blues Album,Feels Like Rain,"Buddy Guy, artist."
1993,Best Traditional Folk Album,The Celtic Harp,"Chieftains (Derek Bell, Kevin Conneff, Martin Fay, Sean Keane, Matt Molloy, Paddy Moloney), artist."
1993,Best Contemporary Folk Album,Other Voices/Other Rooms,"Nanci Griffith, artist."
1993,Best Reggae Album,Bad Boys,"Inner Circle (Lester Adderly, Calton Coffie, Lancelot Hall, Bernard (Touter) Harvey, Ian Lewis, Roger Lewis), artist."
1993,Best World Music Album,A Meeting By The River,"Ry Cooder & V.M. Bhatt, artists."
1993,Best Polka Album,Accordionally Yours,"Walter Ostanek, artist."
1993,Best Musical Album For Children,Aladdin - Original Motion Picture Soundtrack,"Alan Menken & Tim Rice, producers."
1993,Best Spoken Word Album For Children,Audrey Hepburn's Enchanted Tales,"Audrey Hepburn, narrator. Deborah Raffin & Michael Viner, producers."
1993,Best Spoken Word Or Non-Musical Album,On The Pulse Of Morning,"Maya Angelou, narrator."
1993,Best Spoken Comedy Album,Jammin' In New York,"George Carlin, artist."
1993,Best Musical Show Album,The Who's Tommy,"Pete Townshend, composer. Pete Townshend, lyricist. George Martin, producer."
1993,Best Instrumental Composition,Forever In Love,"Kenny G, composer."
1993,Best Instrumental Composition Written For A Motion Picture Or For Television,Aladdin,"Alan Menken, composer."
1993,Best Song Written Specifically For A Motion Picture Or For Television,A Whole New World (Aladdin's Theme) (From Aladdin),"Alan Menken & Tim Rice, songwriters."
1993,Best Music Video - Short Form,Steam,"Peter Gabriel, artist. Stephen Johnson, video director. Prudence Fenton, video producer."
1993,Best Music Video-Long Form,Ten Summoner's Tales,"Sting, artist. Doug Nichol, video director. Julie Fong, video producer."
1993,Best Arrangement On An Instrumental,Mood Indigo,"Dave Grusin, arranger."
1993,Best Instrumental Arrangement Accompanying Vocal(s),When I Fall In Love,"David Foster & Jeremy Lubbock, arrangers."
1993,Best Recording Package,The Complete Billie Holiday On Verve 1945-1959,"David Lau, art director."
1993,Best Album Notes,The Complete Billie Holiday On Verve 1945-1959,"Buck Clayton, Joel E. Siegel & Phil Schaap, album notes writers."
1993,Best Historical Album,The Complete Billie Holiday On Verve 1945-1959,"Michael Lang & Phil Schaap, compilation producers."
1993,Best Engineered Album - Non-Classical,Ten Summoner's Tales,"Hugh Padgham, engineer."
1993,Producer Of The Year,,"David Foster, producer."
1993,Best Classical Album,Bartók: The Wooden Prince & Cantata Profana,"John Aler & John Tomlinson, artists. Pierre Boulez, conductor. Karl-August Naegler, producer."
1993,Best Orchestral Performance,Bartók: The Wooden Prince,"Pierre Boulez, conductor."
1993,Best Opera Recording,Handel: Semele,"John Aler, Kathleen Battle, Marilyn Horne, Mark S. Doss, Michael Chance, Neil Mackie, Samuel Ramey & Sylvia McNair, artists. John Nelson, conductor. Steven Paul, producer."
1993,Best Performance Of A Choral Work,Bartók: Cantata Profana,"Margaret Hillis, choir director.Pierre Boulez, conductor."
1993,Best Classical Performance-Instrumental Soloist(s) (With Orchestra),Berg: Violin Concerto/Rihm: Time Chant,"Anne-Sophie Mutter, artist."
1993,Best Classical Performance-Instrumental Soloist (Without Orchestra),Barber: The Complete Solo Piano Music,"John Browning, artist."
1993,Best Chamber Music Performance,"Ives: String Quartets Nos. 1, 2/Barber: String Quartet Op. 11 (American Originals)","Emerson String Quartet (Eugene Drucker, Lawrence Dutton, David Finckel, Philip Setzer), artist."
1993,Best Classical Vocal Performance,"The Art Of Arleen Auger (Works Of Larsen, Purcell, Schumann, Mozart)","Arleen Auger, artist."
1993,Best Contemporary Composition,Carter: Violin Concerto,"Elliott Carter, composer."
1993,"Best Engineered Recording, Classical",Bartók: The Wooden Prince & Cantata Profana,"Rainer Maillard, engineer."
1993,Classical Producer Of The Year,,"Judith Sherman, producer."
1992,Record Of The Year,Tears In Heaven,"Eric Clapton, artist. Russ Titelman, producer."
1992,Album Of The Year,Unplugged,"Eric Clapton, artist. Russ Titelman, producer."
1992,Song Of The Year,Tears In Heaven,"Eric Clapton & Will Jennings, songwriters."
1992,Best New Artist,,"Arrested Development (Baba Oje, Rasa Don, Headliner, Montsho Eshe, Rasa Don, Speech), artist."
1992,"Best Pop Vocal Performance, Female",Constant Craving,"k.d. lang, artist."
1992,"Best Pop Vocal Performance, Male",Tears In Heaven,"Eric Clapton, artist."
1992,Best Pop Performance By A Duo Or Group With Vocal,Beauty And The Beast,"Celine Dion & Peabo Bryson, artists."
1992,Best Traditional Pop Vocal Performance,Perfectly Frank,"Tony Bennett, artist."
1992,Best Pop Instrumental Performance,Beauty And The Beast,"Richard Kaufman, artist."
1992,"Best Rock Vocal Performance, Female",Ain't It Heavy,"Melissa Etheridge, artist."
1992,"Best Rock Vocal Performance, Male",Unplugged,"Eric Clapton, artist."
1992,Best Rock Performance By A Duo Or Group With Vocal,Achtung Baby,"U2 (Bono, Adam Clayton, Edge, Larry Mullen Jr.), artist."
1992,Best Hard Rock Performance With Vocal,Give It Away,"Red Hot Chili Peppers (Flea, John Frusciante, Anthony Kiedis, Chad Smith), artist."
1992,Best Metal Performance,Wish,"Nine Inch Nails (Trent Reznor), artist."
1992,Best Rock Instrumental Performance,Little Wing,"Stevie Ray Vaughan And Double Trouble (Chris ""Whipper"" Layton, Tommy Shannon, Stevie Ray Vaughan, Reese Wynans), artist."
1992,Best Rock Song,Layla,"Eric Clapton & Jim Gordon, songwriters."
1992,Best Alternative Music Album,Bone Machine,"Tom Waits, artist."
1992,"Best R&B Vocal Performance, Female",The Woman I Am,"Chaka Khan, artist."
1992,"Best R&B Vocal Performance, Male",Heaven And Earth,"Al Jarreau, artist."
1992,Best R&B Performance By A Duo Or Group With Vocal,End Of The Road,"Boyz II Men (Michael McCary, Nathan Morris, Wanya Morris, Shawn Stockman), artist."
1992,Best R&B Instrumental Performance,Doo-Bop,"Miles Davis, artist."
1992,Best Rhythm & Blues Song,End Of The Road,"Babyface, Daryl Simmons & L.A. Reid, songwriters."
1992,Best Rap Solo Performance,Baby Got Back,"Sir Mix-A-Lot, artist."
1992,Best Rap Performance By A Duo Or Group,Tennessee,"Arrested Development (Baba Oje, Rasa Don, Headliner, Montsho Eshe, Rasa Don, Speech), artist."
1992,Best New Age Album,Shepherd Moons,"Enya, artist."
1992,Best Contemporary Jazz Performance (Instrumental),Secret Story,"Pat Metheny, artist."
1992,Best Jazz Vocal Performance,Round Midnight,"Bobby McFerrin, artist."
1992,Best Jazz Instrumental Solo,Lush Life,"Joe Henderson, soloist."
1992,"Best Jazz Instrumental Performance, Individual Or Group",I Heard You Twice The First Time,"Branford Marsalis, artist."
1992,Best Large Jazz Ensemble Performance,The Turning Point,"McCoy Tyner, artist."
1992,"Best Country Vocal Performance, Female",I Feel Lucky,"Mary Chapin Carpenter, artist."
1992,"Best Country Vocal Performance, Male",I Still Believe In You,"Vince Gill, artist."
1992,Best Country Performance By A Duo Or Group With Vocal,Emmylou Harris & The Nash Ramblers At The Ryman,"Emmylou Harris & Nash Ramblers (Larry Altamanuik, Sam Bush, Roy Huskey Jr., Al Perkins, John Randall Stewart), artists."
1992,Best Country Vocal Collaboration,The Whiskey Ain't Workin',"Marty Stuart & Travis Tritt, artists."
1992,Best Country Instrumental Performance,Sneakin' Around,"Chet Atkins & Jerry Reed, artists."
1992,Best Bluegrass Album,Every Time You Say Goodbye,"Alison Krauss And Union Station (Barry Bales, Ron Block,Alison Krauss, Tim Stafford, Adam Steffey), artist."
1992,Best Country Song,I Still Believe In You,"John Jarvis & Vince Gill, songwriters."
1992,Best Rock/Contemporary Gospel Album,Unseen Power,"Petra (Ronny Cates, Bob Hartman, John Lawry, John Schlitt, Louie Weaver), artist."
1992,Best Pop Gospel Album,The Great Adventure,"Steven Curtis Chapman, artist."
1992,Best Southern Gospel Album,Sometimes Miracles Hide,"Bruce Carroll, artist."
1992,Best Traditional Soul Gospel Album,He's Working It Out For You,"Shirley Caesar, artist."
1992,Best Contemporary Soul Gospel Album,Handel's Messiah - A Soulful Celebration,"Mervyn E. Warren, producer."
1992,Best Gospel Album By A Choir Or Chorus,Edwin Hawkins Music & Arts Seminar Mass Choir - Recorded Live In Los Angeles,"Edwin Hawkins, choir director."
1992,Best Latin Pop Album,Otro Dia Mas Sin Verte,"Jon Secada, artist."
1992,Best Tropical Latin Album,Frenesi,"Linda Ronstadt, artist."
1992,Best Mexican-American Album,Mas Canciones,"Linda Ronstadt, artist."
1992,Best Traditional Blues Album,Goin' Back To New Orleans,"Dr. John, artist."
1992,Best Contemporary Blues Album,The Sky Is Crying,"Stevie Ray Vaughan And Double Trouble (Chris ""Whipper"" Layton, Tommy Shannon, Stevie Ray Vaughan, Reese Wynans), artist."
1992,Best Traditional Folk Album,"An Irish Evening - Live At The Grand Opera House, Belfast","Chieftains (Derek Bell, Kevin Conneff, Martin Fay, Sean Keane, Matt Molloy, Paddy Moloney), artist."
1992,Best Contemporary Folk Album,Another Country,"Chieftains (Derek Bell, Kevin Conneff, Martin Fay, Sean Keane, Matt Molloy, Paddy Moloney), artist."
1992,Best Reggae Album,X-tra Naked,"Shabba Ranks, artist."
1992,Best World Music Album,Brasileiro,"Sergio Mendes, artist."
1992,Best Polka Album,35th Anniversary,"Walter Ostanek, artist."
1992,Best Album For Children,Beauty And The Beast - Original Motion Picture Soundtrack,"Alan Menken & Howard Ashman, songwriters."
1992,Best Comedy Album,P.D.Q. Bach: Music For An Awful Lot Of Winds & Percussion,"Peter Schickele, artist."
1992,Best Spoken Word Or Non-Musical Album,What You Can Do To Avoid Aids,"Earvin ""Magic"" Johnson & Robert O'Keefe, narrators."
1992,Best Musical Show Album,Guys And Dolls - The New Broadway Cast Recording,"Jay David Saks, producer."
1992,Best Instrumental Composition,Harlem Renaissance Suite,"Benny Carter, composer."
1992,Best Instrumental Composition Written For A Motion Picture Or For Television,Beauty And The Beast,"Alan Menken, composer."
1992,Best Song Written Specifically For A Motion Picture Or For Television,Beauty And The Beast (From Beauty And The Beast),"Alan Menken & Howard Ashman, songwriters."
1992,Best Music Video - Short Form,Digging In The Dirt,"Peter Gabriel, artist. John Downer, video director. John Downer, video producer."
1992,Best Music Video - Long Form,Diva,"Annie Lennox, artist. Sophie Muller, video director. Rob Small, video producer."
1992,Best Arrangement On An Instrumental,Strike Up The Band,"Rob McConnell, arranger."
1992,Best Instrumental Arrangement Accompanying Vocal(s),Here's To Life,"Johnny Mandel, arranger."
1992,Best Engineered Album - Non-Classical,Dangerous,"Bruce Swedien & Teddy Riley, engineers."
1992,Producer Of The Year (Non-Classical),,"Babyface & L.A. Reid, producers. (TIE)"
1992,Producer Of The Year (Non-Classical),,"Brian Eno & Daniel Lanois, producers. (TIE)"
1992,Best Album Package,Spellbound - Compact,"Melanie Nissen, art director."
1992,Best Album Notes,Queen Of Soul - The Atlantic Recordings,"Ahmet Ertegun, Arif Mardin, Dave Marsh, David Ritz, Jerry Wexler, Thulani Davis & Tom Dowd, album notes writers."
1992,Best Historical Album,"The Complete Capitol Recordings Of The Nat ""King"" Cole Trio","Michael Cuscuna, producer."
1992,Best Classical Album,Mahler: Symphony No. 9,"Leonard Bernstein, conductor. Horst Dittberner, producer."
1992,Best Orchestral Performance,Mahler: Symphony No. 9,"Leonard Bernstein, conductor."
1992,Best Opera Recording,R. Strauss: Die Frau Ohne Schatten,"Hildegard Behrens, Jose Van Dam, Julia Varady, Placido Domingo, Reinhild Runkel & Sumi Jo, artists. Georg Solti, conductor. Christopher Raeburn, Morten Winding & Stephen Trainor, producers."
1992,Best Performance Of A Choral Work,Orff: Carmina Burana,"Vance George, choir director. Herbert Blomstedt, conductor."
1992,Best Classical Performance - Instrumental Solo With Orchestra,Prokofiev: Sinfonia Concertante/Tchaikovsky: Variations On A Rococo Theme,"Yo-Yo Ma, artist."
